Reporter Identifier	VALUE
1	3.845841e+003
2	-8.947940e+000
3	3.661029e+003
4	-7.860020e+000
5	-4.318355e+000
6	-8.338829e+000
7	-6.216889e+000
8	-1.058052e+000
9	-6.638743e+000
10	-8.003517e-001
11	-1.325182e+000
12	-3.101692e+000
13	-4.424341e+000
14	-3.146873e+000
15	-6.042645e+000
16	8.948036e+000
17	-6.364583e+000
18	-2.897664e+000
19	5.777690e+001
20	-6.891876e-001
21	-2.984854e+000
22	-4.684824e+000
23	-1.553226e+000
24	-2.783641e-001
25	2.386091e+001
26	1.585051e+000
27	1.632964e+000
28	-5.694166e+000
29	-5.403838e+000
30	3.358333e+000
31	3.610033e+002
32	2.552109e+003
33	4.141317e+002
34	1.770076e+003
35	-4.978321e+000
36	-1.958903e+000
37	2.631859e+001
38	7.875037e+001
39	-6.765027e+000
40	-6.710058e+000
41	-2.867451e+000
42	-5.031168e+000
43	5.208891e+001
44	2.308671e+002
45	2.626880e+002
46	-3.442767e+000
47	-7.742721e+000
48	-1.144276e+001
49	-1.030473e-001
50	1.581917e+000
51	-5.385288e+000
52	-7.530515e+000
53	5.298842e+000
54	1.359919e+000
55	1.269618e+000
56	1.647907e+003
57	7.196868e+000
58	2.840229e+003
59	-5.295104e+000
60	-7.069343e+000
61	4.638413e+003
62	3.172779e+001
63	4.980079e+002
64	-6.639305e+000
65	7.080244e+000
66	1.482867e+001
67	9.266525e+002
68	-1.411617e+000
69	-2.685003e+000
70	1.523863e+003
71	1.957042e+002
72	1.500671e+000
73	5.190573e+001
74	3.880219e+002
75	3.346596e+002
76	4.808970e+003
77	-1.337426e+000
78	8.794882e+003
79	1.521040e+001
80	5.854083e+000
81	3.777619e+003
82	3.588117e+003
83	3.305869e+003
84	-6.411319e+000
85	4.036695e+000
86	5.301983e+000
87	-6.224471e+000
88	-4.787617e-001
89	-2.069687e+000
90	-6.576780e+000
91	-1.300298e+001
92	2.467143e+001
93	2.920927e+001
94	3.036193e+000
95	-8.492633e+000
96	-2.069496e+000
97	1.237356e+002
98	-3.518238e+000
99	2.268417e+001
100	1.019532e+000
101	1.813043e+002
102	8.751186e-001
103	-3.930314e+000
104	3.373716e+001
105	2.653891e+003
106	-3.849609e+000
107	3.540722e+001
108	1.593995e+000
109	7.290540e+001
110	5.101547e+001
111	6.643612e+001
112	8.077429e+000
113	3.753227e+002
114	6.988482e+001
115	-5.077904e+000
116	-4.640259e+000
117	1.850246e+001
118	1.914324e-001
119	8.544163e+003
120	1.052044e+003
121	-1.318148e+001
122	1.161262e+001
123	-7.052479e+000
124	1.061653e+003
125	-9.314543e+000
126	-3.726384e+000
127	-4.403688e+000
128	2.263600e+002
129	1.380856e+002
130	2.367619e+001
131	7.680480e+001
132	8.292327e+001
133	-5.470187e+000
134	8.058660e+000
135	-9.635508e-001
136	3.066036e+002
137	-5.513985e+000
138	1.845524e+001
139	4.690808e+001
140	-6.828141e+000
141	-5.774839e+000
142	-8.870924e+000
143	-5.948943e+000
144	2.928037e+001
145	-4.536207e+000
146	9.814968e-001
147	1.292815e+000
148	1.135410e+004
149	5.133676e+002
150	-3.216982e+000
151	-1.203127e+000
152	6.129953e+001
153	2.464234e+000
154	1.203756e+000
155	1.112448e+002
156	-3.532035e+000
157	2.468634e+000
158	5.382727e+001
159	2.213131e+002
160	-2.023430e+000
161	5.715487e+000
162	3.219498e+000
163	-7.538940e-001
164	3.226429e+003
165	-1.047944e+001
166	-7.216103e+000
167	-1.384127e+001
168	5.252534e+001
169	8.560198e+000
170	3.980071e+001
171	2.645237e+000
172	-3.073771e+000
173	7.805923e+001
174	-6.395425e+000
175	-1.706729e+000
176	2.543918e+000
177	-3.347319e+000
178	-7.278246e-001
179	4.330286e+003
180	-9.154086e+000
181	-5.453980e+000
182	4.713059e+000
183	-3.021994e+000
184	-1.839791e+000
185	-1.768723e+000
186	8.384118e+001
