FileName	DiseaseStatus
GSM1111627	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111626	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111625	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111624	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111623	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111622	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111621	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111620	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111619	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111618	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111617	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111616	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111615	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111614	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111613	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111612	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111611	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111610	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111609	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111608	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111607	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111606	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111605	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111604	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111603	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111602	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111601	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111600	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111599	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111598	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111597	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111596	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111595	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111594	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111593	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111592	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111591	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111590	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111589	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111588	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111587	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111586	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111585	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111584	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111583	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111582	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111581	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111580	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111579	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111578	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111577	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111576	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111575	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111574	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111573	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111572	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111571	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111570	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111569	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111568	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111567	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111566	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111565	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111564	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111563	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111562	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111561	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111560	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111559	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111558	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111557	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111556	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111555	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111554	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111553	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111552	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111551	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111550	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111549	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111548	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111547	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111546	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111545	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111544	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111543	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111542	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111541	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111540	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111539	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111538	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111537	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111536	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111535	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111534	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111533	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111532	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111531	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111530	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111529	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111528	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111527	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111526	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111525	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111524	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111523	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111522	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111521	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111520	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111519	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111518	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111517	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111516	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111515	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111514	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
GSM1111513	['Adjacent', 'breast', 'normal', 'sample', 'obtained', 'from', 'patient']
GSM1111512	['Breast', 'tumor', 'sample', 'obtained', 'from', 'patient']
