Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulatory region DNA binding (GO:0000975)	9/224	2.0989784141669265E-4	0.24159241547061325	0	0	4.439621152328335	37.59866147173538	NR5A2;SALL3;TBL1XR1;WT1;ZNF536;ARRB1;MEF2D;VSX1;FOXA2
DNA binding (GO:0003677)	17/893	0.003134104295073342	1.0	0	0	2.103530838380776	12.127721637209582	ZNF274;PARP4;ONECUT2;SYCP2;ZIC4;POU2F2;PBX1;NR2F6;NR5A2;HIST3H2A;SALL3;WT1;PRDM16;ZNF536;ZNF169;MEF2D;FOXA2
sequence-specific DNA binding (GO:0043565)	10/394	0.003226543481826148	1.0	0	0	2.804498415458395	16.087567221612925	ZNF274;NR5A2;SALL3;WT1;PRDM16;ZNF536;POU2F2;ZNF169;MEF2D;NR2F6
hormone activity (GO:0005179)	4/83	0.00684271493863993	1.0	0	0	5.325168075617387	26.543676790234336	SCT;NPY;PENK;TRH
transcription regulatory region DNA binding (GO:0044212)	9/374	0.007168630270206203	1.0	0	0	2.659024433480072	13.13037081859077	NR5A2;SALL3;TBL1XR1;WT1;ZNF536;ARRB1;MEF2D;VSX1;FOXA2
insulin-like growth factor receptor binding (GO:0005159)	2/15	0.007915010690894033	1.0	0	0	14.732965009208101	71.29273274308645	SHC1;ARRB1
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	10/460	0.009303756169030985	1.0	0	0	2.402113860196973	11.235496207593261	NR5A2;ONECUT2;NFIC;ZNF536;HOXD9;MEF2D;PBX1;GATAD2B;PHOX2A;FOXA2
protein tyrosine phosphatase activity (GO:0004725)	3/62	0.018662567063527095	1.0	0	0	5.3466405275351985	21.286235194968175	PTP4A2;PTPRN2;DUSP1
epidermal growth factor receptor binding (GO:0005154)	2/25	0.0213167614728011	1.0	0	0	8.83977900552486	34.01778202981759	ATXN2;SHC1
neuropeptide hormone activity (GO:0005184)	2/26	0.022957656194164237	1.0	0	0	8.499787505312367	32.079080279449315	NPY;PENK
RNA polymerase II transcription corepressor activity (GO:0001106)	2/26	0.022957656194164237	1.0	0	0	8.499787505312367	32.079080279449315	TCERG1L;CTBP1
GTPase activator activity (GO:0005096)	6/249	0.026047615252374097	1.0	0	0	2.6625840378086933	9.712651427777919	VAV3;FAM13A;TBCD;ARHGAP17;ARRB1;ASAP2
protein serine/threonine kinase inhibitor activity (GO:0030291)	2/30	0.030014385830831856	1.0	0	0	7.3664825046040505	25.827465816296492	RPTOR;SPRY2
RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	6/262	0.032267697633753666	1.0	0	0	2.5304710893678037	8.688849788922047	ONECUT2;NFIC;ZNF536;MEF2D;GATAD2B;FOXA2
G-protein coupled receptor binding (GO:0001664)	4/133	0.0328570492334978	1.0	0	0	3.3232251900469403	11.350771299077303	SCT;NPY;PENK;ARRB1
RNA polymerase II regulatory region DNA binding (GO:0001012)	5/201	0.036260651606871794	1.0	0	0	2.7486875017179297	9.117457198571426	HOXD9;MEF2D;PBX1;GATAD2B;PHOX2A
transcription corepressor activity (GO:0003714)	5/203	0.03758521428787893	1.0	0	0	2.7216068366763735	8.929985420212663	ZNF274;TCERG1L;TBL1XR1;CTBP1;LHX9
GTPase regulator activity (GO:0030695)	6/275	0.03938452736999	1.0	0	0	2.410848819688599	7.797606620559745	VAV3;FAM13A;TBCD;ARHGAP17;ARRB1;ASAP2
neuropeptide receptor activity (GO:0008188)	2/35	0.039869933482393566	1.0	0	0	6.314127861089187	20.344958395912254	GALR1;SSTR4
core promoter proximal region sequence-specific DNA binding (GO:0000987)	6/278	0.04115779713700107	1.0	0	0	2.384832465519297	7.608430912892517	ONECUT2;NFIC;ZNF536;MEF2D;GATAD2B;FOXA2
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	6/280	0.042367637500779244	1.0	0	0	2.367797947908445	7.485486522505416	ONECUT2;MYT1L;WT1;NFIC;ZNF536;MEF2D
transcription regulatory region sequence-specific DNA binding (GO:0000976)	6/292	0.050096257773559305	1.0	0	0	2.270491182925906	6.797416867069572	NR5A2;HOXD9;MEF2D;PBX1;GATAD2B;PHOX2A
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	1/6	0.0530924306277205	1.0	0	0	18.416206261510126	54.06484180992942	DPYS
clathrin light chain binding (GO:0032051)	1/6	0.0530924306277205	1.0	0	0	18.416206261510126	54.06484180992942	CLTC
neurotrophin TRKA receptor binding (GO:0005168)	1/6	0.0530924306277205	1.0	0	0	18.416206261510126	54.06484180992942	SHC1
protein-lysine 6-oxidase activity (GO:0004720)	1/6	0.0530924306277205	1.0	0	0	18.416206261510126	54.06484180992942	LOXL3
G-protein coupled glutamate receptor binding (GO:0035256)	1/6	0.0530924306277205	1.0	0	0	18.416206261510126	54.06484180992942	NECAB2
ubiquitin-protein transferase inhibitor activity (GO:0055105)	1/6	0.0530924306277205	1.0	0	0	18.416206261510126	54.06484180992942	RPL23
acetylcholine receptor binding (GO:0033130)	1/7	0.061664496658553565	1.0	0	0	15.785319652722965	43.97864139718758	PSCA
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	1/7	0.061664496658553565	1.0	0	0	15.785319652722965	43.97864139718758	DUSP1
interleukin-17 receptor activity (GO:0030368)	1/7	0.061664496658553565	1.0	0	0	15.785319652722965	43.97864139718758	IL17REL
U1 snRNA binding (GO:0030619)	1/7	0.061664496658553565	1.0	0	0	15.785319652722965	43.97864139718758	RBPMS
transcriptional repressor activity, RNA polymerase II transcription factor binding (GO:0001191)	2/47	0.06755299444872492	1.0	0	0	4.702010109321734	12.67117849390705	TCERG1L;CTBP1
protein tyrosine kinase binding (GO:1990782)	2/48	0.07008336553291418	1.0	0	0	4.604051565377532	12.237890466621746	SHC1;BANK1
neurotrophin TRK receptor binding (GO:0005167)	1/8	0.07015938867849662	1.0	0	0	13.812154696132595	36.69869674315618	SHC1
bioactive lipid receptor activity (GO:0045125)	1/8	0.07015938867849662	1.0	0	0	13.812154696132595	36.69869674315618	SPHK2
transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)	4/175	0.07486488549844447	1.0	0	0	2.5256511444356744	6.546665362169594	ONECUT2;WT1;NFIC;MEF2D
MAP kinase phosphatase activity (GO:0033549)	1/9	0.0785777973195466	1.0	0	0	12.277470841006751	31.22978632660072	DUSP1
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	2/52	0.0805038913388231	1.0	0	0	4.249893752656184	10.707393778636767	NR5A2;GATAD2B
repressing transcription factor binding (GO:0070491)	2/53	0.08318009086296661	1.0	0	0	4.1697070780777645	10.369007619315816	TCERG1L;CTBP1
protein kinase activator activity (GO:0030295)	2/55	0.08861275287802564	1.0	0	0	4.018081366147664	9.737737796298953	RPTOR;SPRY2
galanin receptor activity (GO:0004966)	1/11	0.09518789678290693	1.0	0	0	10.04520341536916	23.625338823711104	GALR1
neuropeptide receptor binding (GO:0071855)	1/11	0.09518789678290693	1.0	0	0	10.04520341536916	23.625338823711104	NPY
G-protein coupled receptor activity (GO:0004930)	5/267	0.09565901635972794	1.0	0	0	2.0692366585966435	4.856426683745068	GALR1;NPY;GPR20;GRM1;SSTR4
RNA polymerase I activity (GO:0001054)	1/12	0.10338093871044941	1.0	0	0	9.208103130755063	20.896267762997507	POLR1A
arylsulfatase activity (GO:0004065)	1/12	0.10338093871044941	1.0	0	0	9.208103130755063	20.896267762997507	ARSD
C2H2 zinc finger domain binding (GO:0070742)	1/12	0.10338093871044941	1.0	0	0	9.208103130755063	20.896267762997507	WT1
small GTPase binding (GO:0031267)	2/63	0.11131410068781043	1.0	0	0	3.5078488117162148	7.701128958727825	SPHK2;ASAP2
ionotropic glutamate receptor binding (GO:0035255)	1/13	0.11150019954381085	1.0	0	0	8.499787505312367	18.646229481113256	SHANK2
phosphatidate phosphatase activity (GO:0008195)	1/13	0.11150019954381085	1.0	0	0	8.499787505312367	18.646229481113256	LPIN1
RNA stem-loop binding (GO:0035613)	1/13	0.11150019954381085	1.0	0	0	8.499787505312367	18.646229481113256	RBPMS
translation elongation factor activity (GO:0003746)	1/13	0.11150019954381085	1.0	0	0	8.499787505312367	18.646229481113256	GFM1
