FileName	DiseaseStatus
GSM1111512_US85003611_252182712610_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111513_US85003611_252182714074_S01_miRNA_107_Sep09_2_4.txt	Adjacent breast normal sample obtained from patient
GSM1111514_US85003611_252182710442_S01_miRNA-v1_95_May07_2_2.txt	Breast tumor sample obtained from patient
GSM1111515_US85003611_252182713860_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111516_US85003611_252182712610_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111517_US85003611_252182712610_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111518_US85003611_252182712610_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111519_US85003611_252182713860_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111520_US85003611_252182713627_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111521_US85003611_252182713687_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111522_US85003611_252182712808_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111523_US85003611_252182710442_S01_miRNA-v1_95_May07_2_1.txt	Breast tumor sample obtained from patient
GSM1111524_US85003611_252182712579_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111525_US85003611_252182713686_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111526_US85003611_252182714073_S01_miRNA_107_Sep09_1_3.txt	Adjacent breast normal sample obtained from patient
GSM1111527_US85003611_252182713860_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111528_US85003611_252182712578_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111529_US85003611_252182712578_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111530_US85003611_252182713627_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111531_US85003611_252182714074_S01_miRNA_107_Sep09_1_2.txt	Adjacent breast normal sample obtained from patient
GSM1111532_US85003611_252182714451_S01_miRNA_107_Sep09_1_3.txt	Adjacent breast normal sample obtained from patient
GSM1111533_US85003611_252182713389_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111534_US85003611_252182714073_S01_miRNA_107_Sep09_1_2.txt	Adjacent breast normal sample obtained from patient
GSM1111535_US85003611_252182713687_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111536_US85003611_252182713389_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111537_US85003611_252182714074_S01_miRNA_107_Sep09_2_3.txt	Adjacent breast normal sample obtained from patient
GSM1111538_US85003611_252182713441_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111539_US85003611_252182712579_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111540_US85003611_252182713388_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111541_US85003611_252182710442_S01_miRNA-v1_95_May07_2_4.txt	Breast tumor sample obtained from patient
GSM1111542_US85003611_252182710443_S01_miRNA-v1_95_May07_1_1.txt	Breast tumor sample obtained from patient
GSM1111543_US85003611_252182714073_S01_miRNA_107_Sep09_1_4.txt	Adjacent breast normal sample obtained from patient
GSM1111544_US85003611_252182713860_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111545_US85003611_252182714074_S01_miRNA_107_Sep09_2_2.txt	Adjacent breast normal sample obtained from patient
GSM1111546_US85003611_252182710444_S01_miRNA-v1_95_May07_1_1.txt	Breast tumor sample obtained from patient
GSM1111547_US85003611_252182712578_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111548_US85003611_252182714073_S01_miRNA_107_Sep09_2_2.txt	Adjacent breast normal sample obtained from patient
GSM1111549_US85003611_252182712808_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111550_US85003611_252182713687_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111551_US85003611_252182713388_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111552_US85003611_252182713686_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111553_US85003611_252182713388_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111554_US85003611_252182713389_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111555_US85003611_252182713860_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111556_US85003611_252182713627_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111557_US85003611_252182712610_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111558_US85003611_252182713687_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111559_US85003611_252182714451_S01_miRNA_107_Sep09_1_4.txt	Adjacent breast normal sample obtained from patient
GSM1111560_US85003611_252182712578_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111561_US85003611_252182712610_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111562_US85003611_252182713389_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111563_US85003611_252182712808_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111564_US85003611_252182713686_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111565_US85003611_252182710442_S01_miRNA-v1_95_May07_1_4.txt	Breast tumor sample obtained from patient
GSM1111566_US85003611_252182710443_S01_miRNA-v1_95_May07_2_4.txt	Breast tumor sample obtained from patient
GSM1111567_US85003611_252182712807_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111568_US85003611_252182713687_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111569_US85003611_252182714074_S01_miRNA_107_Sep09_1_1.txt	Adjacent breast normal sample obtained from patient
GSM1111570_US85003611_252182713388_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111571_US85003611_252182713441_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111572_US85003611_252182710443_S01_miRNA-v1_95_May07_2_3.txt	Breast tumor sample obtained from patient
GSM1111573_US85003611_252182712610_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111574_US85003611_252182713627_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111575_US85003611_252182710441_S01_miRNA-v1_95_May07_2_4.txt	Breast tumor sample obtained from patient
GSM1111576_US85003611_252182713389_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111577_US85003611_252182713687_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111578_US85003611_252182714073_S01_miRNA_107_Sep09_1_1.txt	Adjacent breast normal sample obtained from patient
GSM1111579_US85003611_252182710443_S01_miRNA-v1_95_May07_1_4.txt	Breast tumor sample obtained from patient
GSM1111580_US85003611_252182713347_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111581_US85003611_252182712578_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111582_US85003611_252182714073_S01_miRNA_107_Sep09_2_1.txt	Adjacent breast normal sample obtained from patient
GSM1111583_US85003611_252182712579_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111584_US85003611_252182713441_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111585_US85003611_252182710442_S01_miRNA-v1_95_May07_1_3.txt	Breast tumor sample obtained from patient
GSM1111586_US85003611_252182713627_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111587_US85003611_252182710441_S01_miRNA-v1_95_May07_2_3.txt	Breast tumor sample obtained from patient
GSM1111588_US85003611_252182713346_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111589_US85003611_252182710444_S01_miRNA-v1_95_May07_1_2.txt	Breast tumor sample obtained from patient
GSM1111590_US85003611_252182710443_S01_miRNA-v1_95_May07_2_1.txt	Breast tumor sample obtained from patient
GSM1111591_US85003611_252182713686_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111592_US85003611_252182713389_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111593_US85003611_252182713441_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111594_US85003611_252182714074_S01_miRNA_107_Sep09_2_1.txt	Adjacent breast normal sample obtained from patient
GSM1111595_US85003611_252182713388_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111596_US85003611_252182713686_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111597_US85003611_252182713346_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111598_US85003611_252182712807_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111599_US85003611_252182710212_S01_miRNA-v1_95_May07_2_4.txt	Breast tumor sample obtained from patient
GSM1111600_US85003611_252182713686_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111601_US85003611_252182710443_S01_miRNA-v1_95_May07_1_2.txt	Breast tumor sample obtained from patient
GSM1111602_US85003611_252182710443_S01_miRNA-v1_95_May07_2_2.txt	Breast tumor sample obtained from patient
GSM1111603_US85003611_252182713860_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111604_US85003611_252182713389_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111605_US85003611_252182713389_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111606_US85003611_252182712610_S01_miRNA_107_Sep09_2_3.txt	Breast tumor sample obtained from patient
GSM1111607_US85003611_252182710442_S01_miRNA-v1_95_May07_1_2.txt	Breast tumor sample obtained from patient
GSM1111608_US85003611_252182713687_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111609_US85003611_252182712424_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111610_US85003611_252182710442_S01_miRNA-v1_95_May07_2_3.txt	Breast tumor sample obtained from patient
GSM1111611_US85003611_252182712808_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111612_US85003611_252182712578_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111613_US85003611_252182713346_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111614_US85003611_252182710443_S01_miRNA-v1_95_May07_1_3.txt	Breast tumor sample obtained from patient
GSM1111615_US85003611_252182712579_S01_miRNA_107_Sep09_1_1.txt	Breast tumor sample obtained from patient
GSM1111616_US85003611_252182713627_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
GSM1111617_US85003611_252182710442_S01_miRNA-v1_95_May07_1_1.txt	Breast tumor sample obtained from patient
GSM1111618_US85003611_252182713388_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111619_US85003611_252182713687_S01_miRNA_107_Sep09_2_1.txt	Breast tumor sample obtained from patient
GSM1111620_US85003611_252182713388_S01_miRNA_107_Sep09_2_4.txt	Breast tumor sample obtained from patient
GSM1111621_US85003611_252182713860_S01_miRNA_107_Sep09_1_2.txt	Breast tumor sample obtained from patient
GSM1111622_US85003611_252182712578_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111623_US85003611_252182713860_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111624_US85003611_252182713388_S01_miRNA_107_Sep09_1_4.txt	Breast tumor sample obtained from patient
GSM1111625_US85003611_252182714074_S01_miRNA_107_Sep09_1_4.txt	Adjacent breast normal sample obtained from patient
GSM1111626_US85003611_252182713346_S01_miRNA_107_Sep09_2_2.txt	Breast tumor sample obtained from patient
GSM1111627_US85003611_252182713441_S01_miRNA_107_Sep09_1_3.txt	Breast tumor sample obtained from patient
