Names	total	elements
methylation rna_seq transcription	5	PTGER2
		FADS3
		KCTD12
		IRS2
		IGFBP6
methylation transcription	528	FSTL1
		SAMD4A
		APBB2
		PTPRR
		ZEB1
		PDE1C
		MET
		PHYHIP
		MAP3K3
		TNS3
		TEAD1
		SERPINF1
		A2M
		TEK
		GRK5
		GDPD5
		LTBP4
		CTDSP2
		EXOSC7
		MAOA
		ADH5
		KIAA0100
		BCL2
		SEC14L1
		PXDN
		FCN1
		TNXB
		C9orf16
		NIPSNAP3B
		ALAD
		SPTBN1
		TSPAN7
		GNA11
		TACR1
		DPYD
		NFIL3
		CLDN6
		ZBTB20
		SPRY2
		PSG4
		PRR5
		STAT5A
		AHNAK
		RBPMS
		SKAP2
		NFYC
		SEMA3G
		PTCRA
		TRAM2
		TFE3
		SIRPG
		TNFRSF1A
		ACADVL
		LRP1B
		PHGDH
		EHD2
		ADD1
		ALG9
		CLIC5
		KAT5
		MAST4
		NRXN1
		ULBP1
		ICAM2
		AMOTL2
		FOXO1
		GCLC
		FAM13A
		GADD45B
		TCTN3
		TBC1D16
		GNLY
		ALDH1L1
		MAN1A1
		LRRC32
		NRN1
		F13A1
		RAD23A
		MT1E
		FOXN3
		DCAF4
		LRP1
		TACC1
		SPRY1
		TAP2
		GNAI1
		EGFR
		ZDHHC3
		NDRG1
		CARD10
		GBE1
		CAPN2
		MXRA7
		ITPKB
		MEOX2
		ENPEP
		BIN2
		APOLD1
		FBLN2
		F10
		GSC2
		ACSL1
		UBE2H
		FAM184A
		ATP2B4
		RHOQ
		TNIP1
		GNG11
		MECOM
		HIP1R
		PDE4DIP
		NADK
		SYDE1
		MYL9
		PBXIP1
		CTRL
		GPC3
		MAF
		CRYL1
		PER1
		LMCD1
		NEK9
		DCHS1
		GSTM5
		BTD
		DCN
		N4BP2L1
		FZD4
		ATXN2L
		MAP7D1
		MRPS18B
		PROCR
		XPO7
		GULP1
		ABLIM1
		RCN3
		MAP4
		MDFIC
		LAMA2
		MBNL2
		MALT1
		NID1
		ITIH5
		MYOM1
		CRY2
		DIP2C
		RGS3
		NFATC1
		MDH1
		ITGB4
		PARVA
		CD36
		ZNF117
		LMF1
		DHDDS
		PIGV
		LIPE
		PDXK
		NACC2
		SLC47A1
		CYP4F3
		CD58
		ARNTL2
		LEPR
		RRAS2
		SV2B
		ABCA8
		SLC43A3
		MAPK14
		GJA4
		ZFHX4
		CDH18
		GSN
		ANK2
		MAPRE3
		LARP1
		ZBTB16
		VIM
		HOXA10
		EDNRB
		SLIT3
		PDK2
		DUSP1
		DDAH2
		SOX17
		NINJ2
		DAPK2
		MCAM
		CLMN
		TNS1
		NFIC
		PRR4
		MGMT
		EHBP1
		HEBP2
		IL6
		TMEM100
		CREBL2
		GFRA3
		DPT
		RGS5
		PACRG
		EZH1
		CNR2
		CRYGD
		UVRAG
		ITGA2B
		CLDN5
		PTPRN2
		ELK1
		KLF7
		CDO1
		LILRB1
		S1PR1
		MBNL1
		CCL8
		CXCL12
		LDB2
		CAV1
		HMGCL
		TMCC1
		PLEKHG6
		PC
		CTDSP1
		LRRN3
		CDKN1C
		ANKRD12
		MATN2
		TGFBR2
		ORAI2
		UBXN6
		PEMT
		ARHGAP6
		SNX1
		CHD5
		ME3
		JAK1
		ITGA9
		FABP4
		KCNB1
		LYRM4
		HIPK2
		UGP2
		PPM1F
		CAMKK2
		GPX3
		RRAGD
		GPRC5B
		HSD11B1
		SPARC
		DDR2
		F3
		MAP4K4
		APOA1
		SNED1
		WNK1
		ACOX2
		LHX2
		ADAMTS5
		PTH1R
		NF2
		NUP62
		CDH4
		ARHGEF10
		TNR
		CDH5
		SELENBP1
		GSTT1
		ALDH9A1
		NDN
		FBLN5
		HAPLN1
		CNTNAP1
		TACC2
		IGF1
		ITPK1
		NAALAD2
		MITF
		FGFR1
		ZNF208
		EPS8
		CDC14A
		CES2
		GHR
		MTRR
		RBPJ
		ALDH2
		FOXA2
		SIPA1
		TRIM2
		SORT1
		PLIN2
		SERPING1
		PDZRN3
		GPD1
		ADRA2A
		PPP2R5A
		RGL1
		PCDHGA1
		AHCYL1
		OPA1
		ECE1
		TMEM140
		ASAP2
		NUAK1
		RASSF4
		MTHFD1
		DIXDC1
		ATP8B4
		PDGFD
		FYN
		CCL14
		FHIT
		EPS15
		TAS2R7
		LRP5
		ADH1C
		RUNX1T1
		CCL4
		FMOD
		KCNAB1
		GEMIN4
		BCL6
		SLC19A1
		LIMS1
		TRIM14
		ENPP2
		TGFB1
		CEP68
		FRMD4A
		SAR1A
		WWOX
		GP2
		GNA13
		CREM
		PLXND1
		BIN1
		AJAP1
		MOCS1
		RWDD2B
		NPAS2
		INPP5K
		IFFO1
		MCCC1
		COL4A2
		HEBP1
		TCF7L1
		CD302
		FLT1
		COL11A2
		SASH1
		CDC14B
		CTNNBIP1
		ATP9A
		ISLR
		LILRB3
		LYVE1
		PDX1
		ARHGEF15
		GCOM1
		TAX1BP3
		AKAP12
		BLCAP
		SLC35A2
		PHACTR2
		APOD
		WNT11
		OSBPL1A
		NRGN
		CYP3A43
		GRID2
		ZNF423
		NID2
		EHMT1
		ARPC4
		CA3
		COL4A1
		RNASE1
		GLS
		STS
		KANK2
		PPP6C
		RELB
		TGFBR3
		PTPRM
		BNIP3L
		TRAK1
		DOC2B
		DLC1
		FXYD1
		ZNF671
		IGF2R
		TGFB1I1
		SOBP
		ITGA7
		MPRIP
		TSPAN4
		EPAS1
		LPIN1
		HSPB7
		CYBRD1
		TCN2
		PDE4A
		NKIRAS2
		TRMT61A
		KAT2B
		AOC2
		C1QTNF1
		PDE3B
		GNRH2
		NBAS
		AFF1
		SETD2
		DPYSL2
		DNAJB1
		NRP1
		AKAP7
		LYRM1
		ARHGEF7
		NR1H3
		ZCWPW1
		ACAT1
		RFTN1
		DPP4
		GGA3
		KCNA2
		COL15A1
		SEMA3A
		NDUFS8
		MXD4
		GPI
		TSC22D3
		APOB
		PIGR
		FLNC
		ERAP1
		PPARG
		PPP2R1B
		MT1M
		ZCCHC24
		NR3C1
		FBXO40
		USP13
		BNIP3
		AOC3
		LIMA1
		LYST
		CD248
		PDE8A
		AVIL
		LMOD1
		ASPA
		PDPK1
		MYH10
		MYO5A
		IRAK3
		VWF
		CIDEC
		CRIM1
		PFKFB3
		LHPP
		FBN1
		DHRS3
		SNTB2
		LAMC1
		KRTAP1-1
		ANGPT1
		PHLDB1
		PHACTR4
		P2RY13
		KDR
		PML
		ITGB1BP1
		PDE2A
		DAB2
		PLXNA2
		MGLL
		LONRF3
		S100A4
		RPS20
		RARRES2
		EPB41L2
		CDH9
		CYTL1
		SORBS1
		CACNA1A
		LIMCH1
		FAIM2
		R3HCC1
		MSX1
		HK2
		EPHX1
		LHX6
		TPO
		GTDC1
		CD81
		AP3D1
		GLYAT
		ZEB2
		METTL7A
		NEUROD4
		COX7A1
		PCCA
		AQP5
		IL16
		MAP1B
		AKAP5
		LPAR6
		PLEKHA8
		KLC1
		MEST
		ADH1B
		PLD3
		PNLIPRP1
		ABLIM3
		LAMA4
		SYNPO
		MYOZ1
		HSPG2
		ABHD6
		OLFML1
		PRKCA
		TRIM8
		ANXA11
		PNPLA2
		VPS13B
