Array Design Name	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Provider	 Agilent Technologies(cag_sales-na@agilent.com)
Comment[ArrayExpressAccession]	A-GEOD-14767
Comment[SecondaryAccession]	GPL14767
Comment[Description]	Array Manufacturer: Agilent Technologies, Catalogue number: G4470C, Distribution: commercial, Technology: in situ oligonucleotide, Human miRNA Microarray 3.0  Arrays of this design have barcodes that begin with 16021827 or 2521827.  Orientation: Features are numbered numbered Left-to-Right, Top-to-Bottom as scanned by an Agilent scanner (barcode on the left, DNA on the back surface, scanned through the glass), matching the FeatureNum output from Agilent's Feature Extraction software.  The ID column represents the Agilent Feature Extraction feature number.  Rows and columns are numbered as scanned by an Axon Scanner (barcode on the bottom, DNA on the front surface).  To match data scanned on an Axon scanner, use the RefNumber column contained in the Agilent-provided GAL file as the ID_REF column in sample submissions. <br>Reporter Name = Agilent feature number<br>Comment[CONTROL_TYPE] = Control type<br>Reporter Database Entry [mirbase] = miRBase LINK_PRE:http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=<br>Comment[GENE_NAME] = Gene Name<br>Comment[ACCESSION_STRING] = Accession String<br>Reporter Database Entry [chromosome_coordinate] = Chromosomal Location<br>Comment[SPOT_ID] = Spot identifier
Comment[SubmittedName]	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-10-20
Printing Protocol	see manufacturer's web site at http://www.agilent.com/
Surface Type
Substrate Type
Term Source Name	chromosome_coordinate	mirbase
Comment[AdditionalFile:txt]	A-GEOD-14767_comments.txt

[main]
Reporter Name	Reporter Database Entry [mirbase]	Reporter Database Entry [chromosome_coordinate]
1		
2		
3	hsa-miR-720	chr3:164059161-164059171
4	hsa-miR-587	chr6:107232022-107232035
5	hsa-miR-1236	chr6:31924717-31924704
6	hsa-miR-607	chr10:98588506-98588490
7	hsa-miR-1253	chr17:2651415-2651401
8	hsa-miR-369-3p	chr14:101531980-101531998
9	hsa-miR-657	chr17:79099158-79099144
10	hsa-miR-526b	chr19:54197667-54197682
11	hsa-miR-515-3p	chr19:054182308-054182328,chr19:054188314-054188334
12	hsa-miR-586	chr6:45165447-45165432
13	hsa-miR-485-5p	chr14:101521771-101521785
14	hsa-miR-507	chrX:146312577-146312561
15	hsa-miR-551b*	chr3:168269675-168269684
16	hsa-miR-326	chr11:75046214-75046200
17	hsa-miR-146b-3p	chr10:104196322-104196334
18	hsa-miR-1283	chr19:054191753-054191769,chr19:054261504-054261520
19	hsa-miR-622	chr13:90883503-90883516
20	hsa-miR-556-5p	chr1:162312355-162312372
21	hsa-miR-708*	chr11:79113143-79113128
22	hsa-miR-555	chr1:155316221-155316205
23	hsa-miR-223*	chrX:65238740-65238758
24	hsa-miR-346	chr10:88024492-88024477
25	hsa-miR-135a	chr3:052328273-052328251,chr12:097957612-097957634
26	hsa-miR-24-1*	chr9:096888132-096888151,chr9:097848311-097848330
27	hsa-let-7g*	chr3:52302375-52302363
28	ebv-miR-BART19-5p	HHV507799:000148223-000148237
29	hsa-miR-127-5p	chr14:101349349-101349359
30	hsa-miR-206	chr6:52009207-52009220
31	hsa-miR-376c	chr14:101506073-101506089
32	hsa-miR-320c	chr18:019263525-019263539,chr18:021901685-021901699
33	hsa-miR-551b	chr3:168269703-168269722
34	hsa-miR-15a	chr13:50623289-50623271
35	hsa-miR-1255a	chr4:102251508-102251491
36	hsa-let-7f-2*	chrX:53584231-53584212
37	hsa-miR-299-3p	chr14:101490174-101490190
38	hsa-miR-143	chr5:148808549-148808561
39	hsa-miR-647	chr20:62574019-62574007
40	hsa-miR-216b	chr2:56227880-56227868
41	hsa-miR-369-3p	chr14:101531980-101531998
42	hsa-miR-1322	chr8:10682951-10682937
43	hsa-miR-484	chr16:15737165-15737179
44	hsa-miR-1280	chr3:128081018-128081028
45	hsa-miR-455-3p	chr9:116971773-116971787
46	hsa-miR-512-5p	chr19:054169951-054169968,chr19:054172435-054172452
47	kshv-miR-K12-4-3p	KSU75698:000121478-000121466
48	hsa-miR-541*	chr14:101530853-101530865
49	hsa-miR-518b	chr19:54206047-54206062
50	hsa-miR-16-2*	chr3:160122589-160122606
51	hsa-miR-1324	chr3:75679979-75679997
52	hsa-miR-219-2-3p	chr9:131154979-131154965
53	hsa-miR-186*	chr1:71533388-71533368
54	hsa-miR-1247	chr14:102026684-102026672
55	hsa-miR-328	chr16:67236292-67236277
56	hsa-miR-140-5p	chr16:068524508-068524528,chr16:069967007-069967027
57	kshv-miR-K12-9*	KSU75698:000119327-000119316
58	hsa-miR-20a	chr13:92003331-92003348
